,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss,#Tasks before failure
51,249.0,0.0,49.0,1.0,0.0,93.0,45.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,138.0,5.0,0.689,0.679,5.0,0.0,0.0,0.0,74.0,58.0,110.0,114.0,0.3721301808919,93.0,93.0,138.0,1.1437666003948494e-40,0.025586516008397744,36.857142857142854,3.1032427142495915e-42,0
52,249.0,0.0,49.0,1.0,0.0,90.0,34.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,9.0,0.669,0.653,6.0,3.0,0.0,0.0,73.0,29.0,142.0,145.0,0.45357938022611183,90.0,90.0,124.0,6.758952697364846e-36,0.02446934762703209,39.31609807890768,1.7191311009041593e-37,0
53,249.0,0.0,49.0,1.0,0.0,94.0,21.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,115.0,11.0,0.65,0.632,9.0,2.0,0.0,0.0,108.0,29.0,184.0,190.0,0.6521714913969933,94.0,94.0,115.0,7.355481953485635e-70,0.022862398740674104,43.41646194777396,1.694168898961322e-71,0
54,249.0,0.0,49.0,1.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,6.0,0.681,0.67,5.0,1.0,0.0,0.0,91.0,33.0,118.0,122.0,0.42393358181592616,100.0,100.0,125.0,6.958732731124339e-48,0.02415308263250792,38.920597484276726,1.7879306025390672e-49,0
55,249.0,0.0,49.0,1.0,0.0,94.0,35.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,129.0,10.0,0.672,0.656,9.0,1.0,0.0,0.0,68.0,26.0,114.0,118.0,0.38020868470259905,94.0,94.0,129.0,1.0962567649872633e-40,0.026472793407653038,36.37688237688238,3.0136083505714e-42,0
56,249.0,0.0,49.0,1.0,0.0,94.0,25.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,119.0,11.0,0.673,0.654,9.0,2.0,0.0,0.0,99.0,32.0,154.0,158.0,0.5491973671885753,94.0,94.0,119.0,1.6247301457549908e-60,0.025084192445152417,37.866991341991344,4.290623807636125e-62,0
57,249.0,0.0,49.0,1.0,0.0,88.0,33.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,121.0,10.0,0.679,0.66,5.0,5.0,0.0,0.0,80.0,26.0,122.0,126.0,0.42548684894524935,88.0,88.0,121.0,5.0509174948077494e-43,0.026828855678620183,36.19047619047619,1.3956482551442467e-44,0
58,249.0,0.0,49.0,1.0,0.0,90.0,32.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,122.0,7.0,0.675,0.662,5.0,2.0,0.0,0.0,71.0,26.0,132.0,138.0,0.4466678252438618,90.0,90.0,122.0,1.1904963050693646e-59,0.02325994617069481,42.442789968652036,2.8049435627315198e-61,0
59,249.0,0.0,49.0,1.0,0.0,91.0,23.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,114.0,16.0,0.656,0.629,15.0,1.0,0.0,0.0,76.0,26.0,116.0,122.0,0.41316725398303517,91.0,91.0,114.0,1.2685529162930368e-50,0.024668964623039302,39.40177415177415,3.2195324794427246e-52,0
60,249.0,0.0,49.0,1.0,0.0,87.0,34.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,121.0,15.0,0.657,0.633,14.0,1.0,0.0,0.0,72.0,37.0,116.0,120.0,0.3911276437190249,87.0,87.0,121.0,9.805834902854561e-45,0.02188692928593324,44.784937611408196,2.1895385872674952e-46,0
61,249.0,0.0,49.0,1.0,0.0,88.0,28.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,11.0,0.653,0.635,8.0,3.0,0.0,0.0,71.0,24.0,158.0,164.0,0.5056572883347988,88.0,88.0,116.0,2.3931651509250393e-56,0.023038961503608884,42.62087092654389,5.615007621617131e-58,0
62,249.0,0.0,49.0,1.0,0.0,102.0,26.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,9.0,0.684,0.669,8.0,1.0,0.0,0.0,102.0,26.0,172.0,176.0,0.5909144401492972,102.0,102.0,128.0,2.299575427480848e-50,0.02481309183343704,39.446116746841454,5.829662377767466e-52,0
63,249.0,0.0,49.0,1.0,0.0,113.0,29.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,142.0,9.0,0.701,0.686,7.0,2.0,0.0,0.0,77.0,44.0,92.0,94.0,0.32861123364030825,113.0,113.0,142.0,9.86338634848282e-31,0.027880444969155618,32.32857142857143,3.050981194846652e-32,0
64,249.0,0.0,49.0,1.0,0.0,91.0,33.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,10.0,0.683,0.666,8.0,2.0,0.0,0.0,86.0,26.0,176.0,180.0,0.5848601348302062,91.0,91.0,124.0,4.893709646745405e-63,0.026447614631916683,36.86265432098766,1.3275521627207359e-64,0
65,249.0,0.0,49.0,1.0,0.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,130.0,8.0,0.68,0.666,5.0,3.0,0.0,0.0,72.0,26.0,108.0,112.0,0.3763988056740234,100.0,100.0,130.0,1.695212355776528e-52,0.022452503634185644,42.47727272727273,3.9908691093722434e-54,0
66,249.0,0.0,49.0,1.0,0.0,85.0,34.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,119.0,7.0,0.689,0.676,6.0,1.0,0.0,0.0,79.0,26.0,126.0,130.0,0.4292912804085288,85.0,85.0,119.0,3.395869922625908e-45,0.026306045278058625,37.29179566563467,9.106211867816512e-47,0
67,249.0,0.0,49.0,1.0,0.0,94.0,22.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,12.0,0.652,0.633,9.0,3.0,0.0,0.0,97.0,25.0,228.0,234.0,0.7807566057006413,94.0,94.0,116.0,7.847717522553409e-79,0.02349196374237754,42.0170631691269,1.8677453707235106e-80,0
68,249.0,0.0,49.0,1.0,0.0,92.0,33.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,9.0,0.702,0.685,7.0,2.0,0.0,0.0,94.0,48.0,118.0,122.0,0.430010359747699,92.0,92.0,125.0,2.3260302582440817e-46,0.02866769513758454,32.29372549019608,7.20273125177283e-48,0
69,249.0,0.0,49.0,1.0,0.0,92.0,25.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,117.0,11.0,0.658,0.641,9.0,2.0,0.0,0.0,92.0,40.0,130.0,136.0,0.4751076164822002,92.0,92.0,117.0,2.7940217651720977e-63,0.02111664854852173,46.7593984962406,5.975315883066232e-65,0
70,249.0,16.0,1.0,81.0,0.0,75.0,18.0,0.0,0.0,4.0,10.0,0.0,18.0,61.0,93.0,13.0,0.653,0.626,13.0,0.0,0.0,0.0,131.0,30.0,0.0,0.0,0.8629874124031126,75.0,75.0,93.0,1.9334930452307893e-64,0.030703694672981553,31.105291452233242,6.215961834660681e-66,0
71,249.0,0.0,49.0,1.0,0.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,130.0,7.0,0.69,0.679,5.0,2.0,0.0,0.0,79.0,27.0,110.0,114.0,0.389607914978996,100.0,100.0,130.0,4.5370361889462446e-48,0.024642579530103927,38.9284632034632,1.1654804262970789e-49,0
72,249.0,0.0,49.0,1.0,0.0,88.0,34.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,122.0,10.0,0.682,0.666,7.0,3.0,0.0,0.0,79.0,25.0,140.0,144.0,0.46665463647909017,88.0,88.0,122.0,1.5534118521827826e-49,0.028796644140930153,33.13325523954815,4.6883768013491666e-51,0
73,249.0,0.0,49.0,1.0,0.0,103.0,33.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,136.0,8.0,0.702,0.688,6.0,2.0,0.0,0.0,72.0,41.0,86.0,88.0,0.30276026773541637,103.0,103.0,136.0,2.501711040274789e-38,0.02501657817344916,37.251053113553105,6.715812926546734e-40,0
74,249.0,0.0,49.0,1.0,0.0,87.0,24.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,111.0,11.0,0.659,0.64,8.0,3.0,0.0,0.0,120.0,38.0,234.0,240.0,0.8077973587330585,87.0,87.0,111.0,7.445567707605446e-65,0.026760103671522404,36.38641477955749,2.0462493358341238e-66,0
